縣市,區域,郵遞區號,街路或聚落名稱
臺北市,北投區,112017,一心路
臺北市,中山區,104091,一江街
臺北市,中山區,104092,一江街
臺北市,中山區,104088,一江街
臺北市,中山區,104091,一江街
臺北市,中山區,104092,一江街
臺北市,中山區,104088,一江街
臺北市,文山區,116019,一壽街
臺北市,北投區,112055,一德街
臺北市,北投區,112028,七星街
臺北市,中正區,100013,八德路一段
臺北市,中正區,100410,八德路一段
臺北市,大安區,106083,八德路二段
臺北市,中山區,104097,八德路二段
臺北市,中山區,104099,八德路二段
臺北市,中山區,104499,八德路二段
臺北市,中山區,104099,八德路二段
臺北市,中山區,104101,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,大安區,106083,八德路二段
臺北市,中山區,104097,八德路二段
臺北市,中山區,104100,八德路二段
臺北市,中山區,104098,八德路二段
臺北市,中山區,104498,八德路二段
臺北市,中山區,104498,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105041,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105041,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105604,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105042,八德路二段
臺北市,松山區,105041,八德路二段
臺北市,松山區,105042,八德路二段
臺北市,松山區,105041,八德路二段
臺北市,松山區,105042,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105404,八德路二段
臺北市,松山區,105040,八德路二段
臺北市,松山區,105037,八德路三段
臺北市,松山區,105038,八德路三段
臺北市,松山區,105608,八德路三段
臺北市,松山區,105045,八德路三段
臺北市,松山區,105045,八德路三段
臺北市,松山區,105044,八德路三段
臺北市,松山區,105045,八德路三段
臺北市,松山區,105608,八德路三段
臺北市,松山區,105608,八德路三段
臺北市,松山區,105608,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105049,八德路三段
臺北市,松山區,105048,八德路三段
臺北市,松山區,105044,八德路三段
臺北市,松山區,105047,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105044,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105048,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105047,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105047,八德路三段
臺北市,松山區,105046,八德路三段
臺北市,松山區,105047,八德路三段
臺北市,松山區,105048,八德路三段
臺北市,松山區,105407,八德路三段
臺北市,松山區,105049,八德路三段
臺北市,松山區,105407,八德路三段
臺北市,松山區,105049,八德路三段
臺北市,松山區,105407,八德路三段
臺北市,松山區,105407,八德路三段
臺北市,松山區,105035,八德路四段
臺北市,松山區,105034,八德路四段
臺北市,松山區,105210,八德路四段
臺北市,松山區,105410,八德路四段
臺北市,松山區,105412,八德路四段
臺北市,松山區,105412,八德路四段
臺北市,松山區,105053,八德路四段
臺北市,松山區,105052,八德路四段
臺北市,松山區,105053,八德路四段
臺北市,松山區,105052,八德路四段
臺北市,松山區,105052,八德路四段
臺北市,松山區,105053,八德路四段
臺北市,松山區,105052,八德路四段
臺北市,松山區,105053,八德路四段
臺北市,松山區,105056,八德路四段
臺北市,松山區,105055,八德路四段
臺北市,松山區,105056,八德路四段
臺北市,松山區,105412,八德路四段
臺北市,松山區,105055,八德路四段
臺北市,松山區,105056,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105059,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105058,八德路四段
臺北市,松山區,105059,八德路四段
臺北市,南港區,115027,八德路四段
臺北市,松山區,105048,八德路四段
臺北市,松山區,105051,八德路四段
臺北市,松山區,105048,八德路四段
臺北市,松山區,105051,八德路四段
臺北市,松山區,105050,八德路四段
臺北市,松山區,105051,八德路四段
臺北市,松山區,105034,八德路四段
臺北市,松山區,105053,八德路四段
臺北市,松山區,105056,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105612,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105612,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105412,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105212,八德路四段
臺北市,松山區,105057,八德路四段
臺北市,松山區,105412,八德路四段
臺北市,南港區,115027,八德路四段
臺北市,士林區,111004,力行街
臺北市,中正區,100060,三元街
臺北市,中正區,100053,三元街
臺北市,中正區,100060,三元街
臺北市,中正區,100053,三元街
臺北市,萬華區,108013,三水街
臺北市,萬華區,108015,三水街
臺北市,萬華區,108016,三水街
臺北市,萬華區,108013,三水街
臺北市,萬華區,108015,三水街
臺北市,萬華區,108016,三水街
臺北市,松山區,105032,三民路
臺北市,松山區,105609,三民路
臺北市,松山區,105030,三民路
臺北市,松山區,105028,三民路
臺北市,松山區,105030,三民路
臺北市,松山區,105027,三民路
臺北市,松山區,105030,三民路
臺北市,松山區,105036,三民路
臺北市,松山區,105030,三民路
臺北市,松山區,105014,三民路
臺北市,松山區,105013,三民路
臺北市,松山區,105012,三民路
臺北市,松山區,105052,三民路
臺北市,松山區,105069,三民路
臺北市,松山區,105067,三民路
臺北市,松山區,105064,三民路
臺北市,松山區,105070,三民路
臺北市,松山區,105072,三民路
臺北市,松山區,105070,三民路
臺北市,松山區,105072,三民路
臺北市,北投區,112057,三合街一段
臺北市,北投區,112057,三合街二段
臺北市,南港區,115010,三重路
臺北市,南港區,115601,三重路
臺北市,南港區,115010,三重路
臺北市,南港區,115602,三重路
臺北市,文山區,116065,三福街
臺北市,文山區,116006,下崙路
臺北市,士林區,111012,下樹林街
臺北市,文山區,116009,久康街
臺北市,士林區,111028,士東路
臺北市,士林區,111034,士東路
臺北市,士林區,111048,士東路
臺北市,士林區,111034,士東路
臺北市,士林區,111035,士東路
臺北市,士林區,111028,士東路
臺北市,士林區,111035,士東路
臺北市,士林區,111028,士東路
臺北市,士林區,111035,士東路
臺北市,士林區,111045,士商路
臺北市,士林區,111081,士商路
